model;year;mileage;engine_type;price;gearbox;brand
Citroën C3;2019;128 279 km;Diesel;10 395 €;Manuelle;BlueHDi 100 S&S BVM5 Feel
Citroën C3;2021;15 656 km;Essence;15 270 €;Manuelle;PureTech 83 S&S BVM5 Shine
Peugeot 208;2017;71 785 km;Essence;9 990 €;Manuelle;1.2 PureTech 82ch BVM5 Style
Peugeot 2008;2016;98 465 km;Essence;11 990 €;Manuelle;1.2 PureTech 110ch S&S BVM5 Allure
Peugeot 308;2023;14 599 km;Essence;25 989 €;Automatique;PureTech 130ch S&S EAT8 Allure Pack
Peugeot 208;2023;3 000 km;Essence;14 870 €;Manuelle;PureTech 75 S&S BVM5 Like
Citroën C3;2021;31 031 km;Essence;15 290 €;Manuelle;PureTech 83 S&S BVM5 Shine Pack
Citroën C3 Aircross;2018;111 676 km;Diesel;12 950 €;Manuelle;BlueHDi 100 BVM5 Feel
Peugeot 208;2021;14 188 km;Essence;19 690 €;Automatique;PureTech 100 S&S EAT8 Allure Business
Citroën C3;2021;16 035 km;Essence;14 990 €;Manuelle;PureTech 83 S&S BVM5 Shine
Peugeot 5008;2021;29 613 km;Essence;28 770 €;Automatique;PureTech 130ch S&S EAT8 Allure Pack
Citroën C3;2021;15 488 km;Essence;15 270 €;Manuelle;PureTech 83 S&S BVM5 Shine
Citroën C3;2021;40 024 km;Essence;14 670 €;Manuelle;PureTech 83 S&S BVM5 Shine
Citroën C3;2021;24 546 km;Essence;14 790 €;Manuelle;PureTech 83 S&S BVM5 Shine
Citroën C3;2020;24 609 km;Essence;14 570 €;Manuelle;PureTech 83 S&S BVM5 Shine
Citroën C3;2021;16 174 km;Essence;14 970 €;Manuelle;PureTech 83 S&S BVM5 Shine
Citroën C3;2020;24 881 km;Essence;14 570 €;Manuelle;PureTech 83 S&S BVM5 Shine
Citroën C3;2021;39 511 km;Essence;14 470 €;Manuelle;PureTech 83 S&S BVM5 Shine
Peugeot 208;2019;43 413 km;Essence;11 790 €;Manuelle;PureTech 82ch S&S BVM5 Signature
Peugeot 3008;2023;17 075 km;Essence;28 700 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
